"","edad","activo","invalidez","sucesion","vejez"
"1",0,NA,NA,NA,NA
"2",1,NA,NA,NA,NA
"3",2,NA,0,1,0
"4",3,NA,0,1,0
"5",4,NA,NA,NA,NA
"6",5,NA,0,1,0
"7",6,NA,0,1,0
"8",7,NA,NA,NA,NA
"9",8,NA,0,1,0
"10",9,NA,NA,NA,NA
"11",10,NA,0,1,0
"12",11,NA,0,1,0
"13",12,NA,0,3,0
"14",13,NA,0,3,0
"15",14,NA,0,3,0
"16",15,NA,0,5,0
"17",16,NA,0,3,0
"18",17,NA,0,6,0
"19",18,NA,0,2,0
"20",19,NA,0,3,0
"21",20,2,NA,NA,NA
"22",21,4,0,5,0
"23",22,11,0,3,0
"24",23,17,0,4,0
"25",24,23,0,4,0
"26",25,37,0,1,0
"27",26,47,0,2,0
"28",27,60,NA,NA,NA
"29",28,74,NA,NA,NA
"30",29,83,NA,NA,NA
"31",30,99,0,1,0
"32",31,115,0,1,0
"33",32,125,NA,NA,NA
"34",33,172,0,1,0
"35",34,165,NA,NA,NA
"36",35,159,1,1,0
"37",36,191,0,1,0
"38",37,204,NA,NA,NA
"39",38,220,2,4,0
"40",39,228,NA,NA,NA
"41",40,215,1,0,0
"42",41,208,1,1,0
"43",42,213,0,1,0
"44",43,188,0,2,0
"45",44,193,1,0,0
"46",45,201,NA,NA,NA
"47",46,189,1,1,0
"48",47,163,2,0,0
"49",48,143,0,1,0
"50",49,160,2,1,0
"51",50,150,0,1,0
"52",51,132,0,2,0
"53",52,112,2,3,0
"54",53,115,1,2,0
"55",54,121,3,1,0
"56",55,98,2,1,0
"57",56,112,1,2,0
"58",57,88,4,0,0
"59",58,78,6,2,0
"60",59,84,3,1,1
"61",60,60,3,0,5
"62",61,56,4,0,0
"63",62,47,3,2,10
"64",63,41,3,1,11
"65",64,22,2,1,16
"66",65,18,2,3,27
"67",66,14,0,0,22
"68",67,7,0,2,32
"69",68,7,1,1,22
"70",69,1,0,0,17
"71",70,1,1,3,14
"72",71,2,0,0,15
"73",72,1,0,0,13
"74",73,NA,0,0,8
"75",74,1,0,0,2
"76",75,NA,0,1,1
"77",76,1,0,1,3
"78",77,NA,0,0,1
"79",78,NA,0,0,2
"80",79,NA,NA,NA,NA
"81",80,NA,0,0,1
"82",81,NA,NA,NA,NA
"83",82,NA,1,0,0
"84",83,NA,NA,NA,NA
"85",84,NA,NA,NA,NA
"86",85,NA,NA,NA,NA
"87",86,NA,NA,NA,NA
"88",87,NA,0,0,1
"89",88,NA,0,1,0
"90",89,NA,NA,NA,NA
"91",90,NA,NA,NA,NA
"92",91,NA,NA,NA,NA
"93",92,NA,NA,NA,NA
"94",93,NA,NA,NA,NA
"95",94,NA,NA,NA,NA
"96",95,NA,NA,NA,NA
"97",96,NA,NA,NA,NA
"98",97,NA,NA,NA,NA
"99",98,NA,NA,NA,NA
"100",99,NA,NA,NA,NA
"101",100,NA,NA,NA,NA
"102",101,NA,NA,NA,NA
"103",102,NA,NA,NA,NA
"104",103,NA,NA,NA,NA
"105",104,NA,NA,NA,NA
"106",105,NA,NA,NA,NA
"107",106,NA,NA,NA,NA
"108",107,NA,NA,NA,NA
"109",108,NA,NA,NA,NA
"110",109,NA,NA,NA,NA
"111",110,NA,NA,NA,NA
"112",111,NA,NA,NA,NA
"113",112,NA,NA,NA,NA
"114",113,NA,NA,NA,NA
"115",114,NA,NA,NA,NA
"116",115,NA,NA,NA,NA
