"","x"
"1",1381657923083.94
"2",1358553239618.99
"3",1337437291843.04
"4",1315564358922.3
"5",1290286349184.03
"6",1258350653523.84
"7",1222968119112.39
"8",1184709274734.08
"9",1141402243097.86
"10",1099574173986.41
"11",1051900604634.44
"12",1003086282753.28
"13",958656701173.325
"14",908769200923.223
"15",853496270396.662
"16",794510638692.554
"17",740464710082.894
"18",684598113919.047
"19",622987160710.294
"20",560885607230.948
"21",502125167724.957
"22",448673650434.154
"23",392374733472.873
"24",338604834413.004
"25",287904905652.62
"26",238899885247.175
"27",194262354094.22
"28",155606363844.197
"29",123114912902.642
"30",97548983667.3887
"31",74555169439.4901
"32",53552281896.4259
"33",38754512512.3318
"34",26982735684.7427
"35",18303293694.0763
"36",12327234958.7494
"37",7740514075.77537
"38",4584466055.29572
"39",2497881706.3132
"40",1252270922.90601
"41",615622628.172423
"42",248998183.354051
"43",52886890.6319198
"44",11304684.7856616
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
