"","edad","activo","invalidez","sucesion","vejez"
"1",0,0,0,0,0
"2",1,0,0,0,0
"3",2,0,0,1,0
"4",3,0,0,1,0
"5",4,0,0,0,0
"6",5,0,0,1,0
"7",6,0,0,1,0
"8",7,0,0,0,0
"9",8,0,0,1,0
"10",9,0,0,0,0
"11",10,0,0,1,0
"12",11,0,0,1,0
"13",12,0,0,3,0
"14",13,0,0,3,0
"15",14,0,0,3,0
"16",15,0,0,5,0
"17",16,0,0,3,0
"18",17,0,0,6,0
"19",18,0,0,2,0
"20",19,0,0,3,0
"21",20,2,0,0,0
"22",21,4,0,5,0
"23",22,11,0,3,0
"24",23,17,0,4,0
"25",24,23,0,4,0
"26",25,37,0,1,0
"27",26,47,0,2,0
"28",27,60,0,0,0
"29",28,74,0,0,0
"30",29,83,0,0,0
"31",30,99,0,1,0
"32",31,115,0,1,0
"33",32,125,0,0,0
"34",33,172,0,1,0
"35",34,165,0,0,0
"36",35,159,1,1,0
"37",36,191,0,1,0
"38",37,204,0,0,0
"39",38,220,2,4,0
"40",39,228,0,0,0
"41",40,215,1,1,0
"42",41,208,1,0,0
"43",42,213,0,1,0
"44",43,188,0,2,0
"45",44,193,1,0,0
"46",45,201,0,0,0
"47",46,189,1,1,0
"48",47,163,2,0,0
"49",48,143,0,1,0
"50",49,160,2,1,0
"51",50,150,0,1,0
"52",51,132,0,2,0
"53",52,112,2,3,0
"54",53,115,1,2,0
"55",54,121,3,1,0
"56",55,98,2,1,0
"57",56,112,1,2,0
"58",57,88,4,0,0
"59",58,78,7,2,0
"60",59,84,2,1,1
"61",60,60,4,0,5
"62",61,56,3,0,0
"63",62,47,3,2,10
"64",63,41,3,1,12
"65",64,22,2,1,15
"66",65,18,2,3,27
"67",66,14,0,0,22
"68",67,7,0,2,32
"69",68,7,1,1,22
"70",69,1,0,0,17
"71",70,1,1,3,14
"72",71,2,0,0,15
"73",72,1,0,0,13
"74",73,0,0,0,8
"75",74,1,0,0,2
"76",75,0,0,1,1
"77",76,1,0,1,3
"78",77,0,0,0,1
"79",78,0,0,0,2
"80",79,0,0,0,0
"81",80,0,0,0,1
"82",81,0,0,0,0
"83",82,0,1,0,0
"84",83,0,0,0,0
"85",84,0,0,0,0
"86",85,0,0,0,0
"87",86,0,0,0,0
"88",87,0,0,0,1
"89",88,0,0,1,0
"90",89,0,0,0,0
"91",90,0,0,0,0
"92",91,0,0,0,0
"93",92,0,0,0,0
"94",93,0,0,0,0
"95",94,0,0,0,0
"96",95,0,0,0,0
"97",96,0,0,0,0
"98",97,0,0,0,0
"99",98,0,0,0,0
"100",99,0,0,0,0
"101",100,0,0,0,0
"102",101,0,0,0,0
"103",102,0,0,0,0
"104",103,0,0,0,0
"105",104,0,0,0,0
"106",105,0,0,0,0
"107",106,0,0,0,0
"108",107,0,0,0,0
"109",108,0,0,0,0
"110",109,0,0,0,0
"111",110,0,0,0,0
"112",111,0,0,0,0
"113",112,0,0,0,0
"114",113,0,0,0,0
"115",114,0,0,0,0
"116",115,0,0,0,0
