"","edad","activo","invalidez","sucesion","vejez","muerte"
"1",0,0,0,0,0,0
"2",1,0,0,0,0,0
"3",2,0,0,1,0,0
"4",3,0,0,1,0,0
"5",4,0,0,0,0,0
"6",5,0,0,0,0,0
"7",6,0,0,1,0,0
"8",7,0,0,0,0,0
"9",8,0,0,0,0,0
"10",9,0,0,0,0,0
"11",10,0,0,1,0,0
"12",11,0,0,0,0,0
"13",12,0,0,0,0,0
"14",13,0,0,2,0,0
"15",14,0,0,2,0,0
"16",15,0,0,3,0,0
"17",16,0,0,1,0,0
"18",17,0,0,3,0,0
"19",18,0,0,2,0,0
"20",19,0,0,2,0,0
"21",20,2,0,0,0,0
"22",21,2,0,3,0,0
"23",22,5,0,2,0,0
"24",23,7,0,2,0,0
"25",24,12,0,1,0,0
"26",25,17,0,1,0,0
"27",26,23,0,0,0,0
"28",27,29,0,0,0,0
"29",28,36,0,0,0,0
"30",29,53,0,0,0,0
"31",30,49,0,0,0,0
"32",31,56,0,0,0,0
"33",32,62,0,0,0,0
"34",33,89,0,1,0,0
"35",34,84,0,0,0,0
"36",35,82,1,1,0,0
"37",36,106,0,0,0,0
"38",37,111,0,0,0,0
"39",38,99,2,2,0,0
"40",39,125,0,0,0,0
"41",40,105,0,0,0,0
"42",41,105,1,1,0,0
"43",42,113,0,0,0,0
"44",43,106,0,1,0,0
"45",44,94,1,0,0,0
"46",45,94,0,0,0,0
"47",46,89,1,0,0,0
"48",47,77,1,0,0,0
"49",48,61,0,0,0,0
"50",49,67,2,1,0,0
"51",50,70,0,0,0,0
"52",51,67,0,1,0,0
"53",52,61,1,2,0,0
"54",53,52,1,2,0,0
"55",54,61,2,0,0,0
"56",55,53,0,1,0,0
"57",56,61,0,1,0,0
"58",57,42,0,0,0,0
"59",58,35,5,1,0,0
"60",59,40,1,1,0,0
"61",60,32,3,0,4,0
"62",61,26,4,0,0,0
"63",62,28,0,1,5,0
"64",63,19,2,0,7,0
"65",64,14,1,0,6,0
"66",65,6,0,0,17,0
"67",66,6,0,0,11,0
"68",67,5,0,1,16,0
"69",68,3,1,0,12,0
"70",69,1,0,0,7,0
"71",70,0,0,1,9,0
"72",71,1,0,0,2,0
"73",72,0,0,0,4,0
"74",73,0,0,0,7,0
"75",74,1,0,0,1,0
"76",75,0,0,1,1,0
"77",76,1,0,0,2,0
"78",77,0,0,0,0,0
"79",78,0,0,0,0,0
"80",79,0,0,0,0,0
"81",80,0,0,0,1,0
"82",81,0,0,0,0,0
"83",82,0,0,0,0,0
"84",83,0,0,0,0,0
"85",84,0,0,0,0,0
"86",85,0,0,0,0,0
"87",86,0,0,0,0,0
"88",87,0,0,0,1,0
"89",88,0,0,1,0,0
"90",89,0,0,0,0,0
"91",90,0,0,0,0,0
"92",91,0,0,0,0,0
"93",92,0,0,0,0,0
"94",93,0,0,0,0,0
"95",94,0,0,0,0,0
"96",95,0,0,0,0,0
"97",96,0,0,0,0,0
"98",97,0,0,0,0,0
"99",98,0,0,0,0,0
"100",99,0,0,0,0,0
"101",100,0,0,0,0,0
"102",101,0,0,0,0,0
"103",102,0,0,0,0,0
"104",103,0,0,0,0,0
"105",104,0,0,0,0,0
"106",105,0,0,0,0,0
"107",106,0,0,0,0,0
"108",107,0,0,0,0,0
"109",108,0,0,0,0,0
"110",109,0,0,0,0,0
"111",110,0,0,0,0,0
"112",111,0,0,0,0,0
"113",112,0,0,0,0,0
"114",113,0,0,0,0,0
"115",114,0,0,0,0,0
"116",115,0,0,0,0,0
