"","Activos","Invalidez","Vejez","Sucesión","Año"
"1",5279,53,224,66,2024
"2",5160,53,327,66,2025
"3",5071,70,375,67,2026
"4",4992,101,420,78,2027
"5",4905,103,472,84,2028
"6",4804,120,542,88,2029
"7",4697,138,605,96,2030
"8",4594,152,677,104,2031
"9",4462,166,763,117,2032
"10",4346,180,842,128,2033
"11",4208,192,929,137,2034
"12",4075,210,1016,152,2035
"13",3952,223,1096,168,2036
"14",3811,235,1192,184,2037
"15",3651,249,1295,203,2038
"16",3484,257,1410,219,2039
"17",3329,273,1506,242,2040
"18",3165,284,1615,270,2041
"19",2974,298,1746,294,2042
"20",2782,307,1875,315,2043
"21",2593,320,2004,346,2044
"22",2411,322,2123,375,2045
"23",2213,331,2250,407,2046
"24",2014,334,2377,439,2047
"25",1817,342,2510,474,2048
"26",1614,347,2639,506,2049
"27",1412,347,2769,550,2050
"28",1225,351,2874,588,2051
"29",1055,348,2967,626,2052
"30",909,350,3031,668,2053
"31",765,350,3093,707,2054
"32",617,346,3155,750,2055
"33",503,345,3188,789,2056
"34",400,339,3199,827,2057
"35",313,328,3189,870,2058
"36",240,324,3170,911,2059
"37",178,317,3139,948,2060
"38",126,313,3089,980,2061
"39",84,301,3028,1018,2062
"40",53,290,2953,1045,2063
"41",33,280,2871,1078,2064
"42",18,275,2779,1110,2065
"43",8,263,2673,1133,2066
"44",3,253,2568,1161,2067
"45",0,238,2456,1176,2068
"46",0,230,2339,1193,2069
"47",0,224,2225,1199,2070
"48",0,207,2108,1211,2071
"49",0,198,1995,1216,2072
"50",0,186,1876,1222,2073
"51",0,173,1757,1213,2074
"52",0,166,1642,1200,2075
"53",0,155,1525,1183,2076
"54",0,136,1413,1169,2077
"55",0,129,1299,1143,2078
"56",0,115,1191,1109,2079
"57",0,109,1081,1072,2080
"58",0,97,985,1033,2081
"59",0,87,882,986,2082
"60",0,78,793,935,2083
"61",0,73,703,883,2084
"62",0,61,621,823,2085
"63",0,54,544,770,2086
"64",0,47,476,706,2087
"65",0,40,407,647,2088
"66",0,32,344,585,2089
"67",0,28,298,528,2090
"68",0,24,246,468,2091
"69",0,21,205,414,2092
"70",0,16,170,359,2093
"71",0,13,137,310,2094
"72",0,6,112,264,2095
"73",0,4,87,220,2096
"74",0,0,66,181,2097
"75",0,0,51,149,2098
"76",0,0,38,120,2099
"77",0,0,27,93,2100
"78",0,0,16,72,2101
"79",0,0,15,55,2102
"80",0,0,11,41,2103
"81",0,0,3,28,2104
"82",0,0,0,19,2105
"83",0,0,0,15,2106
"84",0,0,0,9,2107
"85",0,0,0,4,2108
"86",0,0,0,0,2109
"87",0,0,0,0,2110
"88",0,0,0,0,2111
"89",0,0,0,0,2112
"90",0,0,0,0,2113
"91",0,0,0,0,2114
"92",0,0,0,0,2115
"93",0,0,0,0,2116
"94",0,0,0,0,2117
"95",0,0,0,0,2118
"96",0,0,0,0,2119
"97",0,0,0,0,2120
"98",0,0,0,0,2121
"99",0,0,0,0,2122
"100",0,0,0,0,2123
